#doc name topic proportion ...
0	Riesling	0.010115123752025522	0.01068864500879194	5.77413107655155E-4	0.007587846958876068	0.004153120759038189	0.6385600396542918	0.005055073073232867	0.03933273915939513	0.02723661006043785	4.4997933436294974E-4	0.001308449793396894	0.0033767987931327408	0.005639883836148665	5.128753643055852E-4	7.359120925847706E-4	0.0028024544802185487	0.15701449524692596	0.05717751799493702	0.0071121380178274475	0.02056288351241471
1	Merlot	0.0031313700096549605	0.017617686365398927	0.0016459774738075779	0.021629964757343755	0.02469034544320099	0.001805534838991689	0.007984306916213353	0.002884975541655532	0.27041234896331656	0.001282713949893013	0.010155591803902757	0.06103165616454539	0.0353542382267353	0.0014620057725153234	0.03422637822944287	0.03369156058290627	0.010637795315493474	0.06660484850029323	0.33513401473898774	0.058616686405701626
2	Shiraz/Syrah	0.5706804834929456	0.004369389892057713	0.0708841096592453	0.0034271739777985443	0.1250359819317182	7.048880381248075E-4	0.02067748378696282	0.0011263060150815416	0.01024229664594938	5.007766674390771E-4	0.0014561582655263302	0.001249373869845119	0.0037679343890235943	5.707729136320552E-4	8.189878447961514E-4	0.025696447697645838	0.0016444124492295347	0.018476923379741897	0.05307027274751132	0.08559982633572473
3	Pinot_Noir	7.814290289840697E-4	0.014017640803948246	4.107513884086899E-4	0.005397727609696695	0.04464612808913148	0.1704246017972072	0.016424230208273542	7.199416323231255E-4	0.004943409489159691	0.0019236280955130186	0.005741371032496788	0.008816250421403422	0.36961653912172365	3.648415063257372E-4	5.235019949641772E-4	0.01321826790788261	0.0010511184057070582	0.011810561428421079	0.01788755390293357	0.31128050613549607
4	Rhone_Blends	0.0010556593970677108	0.012438127749550023	5.548982018187635E-4	0.026788334636472882	0.010489965445691139	6.086887891363354E-4	0.01352301023819103	0.0031388560040955396	0.017509532437089883	4.324334175709905E-4	0.09224043586181999	0.0032451282337916617	0.00541996944242328	4.928769604244569E-4	7.072168807013865E-4	0.6200778632856758	0.0014199920674281827	0.10910456246174864	0.06749015382079257	0.013262294668509346
5	Merlot	0.002223550480812687	0.014966366352518093	0.006486675025302644	0.004797101514224839	7.530915801339312E-4	0.023494015916055284	0.0601118114258448	4.013619352099166E-4	0.5024767002264025	1.7845300447655825E-4	0.04164083085856923	0.0013391723666609562	0.0022366676391580866	2.0339633999395714E-4	0.002973713035579179	0.21566057390170462	0.0014799453418393104	0.07273695973367321	0.00997217403233996	0.03586743928950025
6	Rhone_Blends	0.5611513397345645	0.02686454466211886	7.063907140147893E-4	0.0037674107956363646	0.0023231370966227405	7.74866645740632E-4	0.028245610438258392	0.0012381213991167275	0.09123160942378014	0.003308164165074805	0.02090442617090011	0.039980819048205364	0.004142000606451684	6.274370809898312E-4	9.00293847924796E-4	0.017216804275763442	0.004565335764329595	0.03685727591758521	0.1493420735208136	0.005852338692107889
7	Rhone_Blends	0.5887280626524601	0.04616825070464575	0.0034640630058043443	0.014798099962794584	0.0023231370966227405	7.74866645740632E-4	0.039276299605416606	0.0012381213991167275	0.04159350817156816	5.504918732852495E-4	0.009873737003741879	0.028950129881047146	0.004142000606451684	6.274370809898312E-4	9.00293847924796E-4	0.006186115108605219	0.001807663472540042	0.028584259042216547	0.1438267289372345	0.036186733901793
8	Cabernet_Sauvignon_and_Blends	5.242098619036399E-4	0.07932421450659236	0.005654061125694641	0.027286448989434064	0.014890339393427768	3.0225721192058514E-4	0.015320758582844613	0.0069371796831183856	0.03236019130049363	2.1473390256087323E-4	0.006002917947456756	5.357336798485351E-4	0.001615696793714513	2.4474841419236496E-4	0.3919070579710629	0.014245790146474183	7.051269070672111E-4	0.11872034082159286	0.23144299760231235	0.051765195158287855
9	Shiraz/Syrah	0.007033780847819006	0.016236838409452753	7.243688614593231E-4	0.0038632940871693574	0.008037976629090712	7.945875544821997E-4	0.057243051550580626	0.07196605792895566	0.03134066454439303	5.645022840516808E-4	0.004469316615507139	0.001408361149829047	0.007075274494104006	0.13920839969837112	9.232069684121921E-4	0.46162853609450866	0.0018536697970777997	0.009516749692093719	0.01740579891948546	0.1587055638731565
10	Grenache	0.003788685526185665	0.060188661324014896	0.040864281860889515	0.026170377232770447	0.022098613409802015	0.0021845402141618935	0.009660317355282722	0.003490569637049807	0.03951677521317466	0.0015519723830821242	0.004512824898673151	0.003871973013558897	0.01945187987329645	0.017318016779830428	0.0025381504368076563	0.009665626009917647	0.012870807671424537	0.04948784349533254	0.4754540531973251	0.19531403046742038
11	Tempranillo	0.005455553337956016	0.017392947697614063	9.395873820397359E-4	0.008679170909341706	0.0030900608677727516	0.001030668875817228	0.015561890059855584	0.0016468552331778035	0.02964820518318865	7.322225615262101E-4	0.005797203222969929	0.0018268018355571665	0.012845468526876888	0.08886768874341852	0.0011975026325451224	0.25031938002111	0.00240441692688672	0.10037740761603571	0.4297304444731329	0.022456523893177413
12	Sauvignon_Blanc	3.5322535917442315E-4	0.029531036616952833	0.08354167430413721	0.005339246433775107	0.014382481899169942	2.0366826342411296E-4	0.2183510936300708	0.005399275276068268	0.01383190119871772	1.4469292810239545E-4	4.207380593368855E-4	0.02500537431512922	0.46715748595981565	1.6491743630408855E-4	2.366359238537045E-4	0.007424655541993212	0.09615332808862971	0.023459538088354482	0.003011775567950877	0.005887255109039443
